reviewid,genre
21417,rock
21400,rock
21458,rock
21434,rock
21406,rock
21406,experimental
21490,rap
21436,rock
21455,folk/country
21428,rock
21345,jazz
21454,rock
21420,experimental
21431,electronic
21402,pop/r&b
21403,rap
21422,metal
21430,pop/r&b
21432,metal
21397,rap
21423,rock
21426,rap
21347,metal
21429,rock
21394,
21388,rock
21421,electronic
21395,metal
21446,rap
21392,rap
21391,electronic
21418,rock
21425,rock
21393,rock
21387,pop/r&b
21399,rock
21405,electronic
21447,
21389,folk/country
21353,rock
21353,pop/r&b
21378,rap
21386,rap
21330,rock
21404,electronic
21332,rock
21355,rap
21370,pop/r&b
21424,rap
21385,global
21351,rock
21351,rap
21377,electronic
21416,
21368,rap
21350,jazz
21369,experimental
21343,rock
21341,rap
21341,pop/r&b
21348,electronic
21338,rock
21337,rap
21328,rock
21349,rap
21331,rock
21352,
21326,rock
21326,electronic
21329,rap
20947,rock
20947,electronic
21342,rock
21296,
21179,metal
21344,rap
21312,rap
21308,rap
21325,rap
21340,pop/r&b
21336,rock
21324,rock
21256,experimental
21327,electronic
21305,
21317,rock
21309,rock
21297,folk/country
21313,electronic
21306,rock
21289,rock
21307,rock
21283,experimental
21280,
21321,rock
21292,rap
21265,electronic
21318,electronic
21322,experimental
21286,metal
21286,experimental
21235,rock
21228,pop/r&b
21263,metal
20996,
21212,electronic
21302,electronic
21259,rock
21281,rap
21293,rap
21319,pop/r&b
21209,rap
21294,electronic
21269,pop/r&b
21304,pop/r&b
21295,rock
21315,rock
21245,rock
21320,rap
21288,electronic
21158,jazz
21301,rock
21270,experimental
21250,folk/country
21208,metal
21279,rock
21169,electronic
21299,electronic
21201,metal
21134,metal
21246,pop/r&b
21275,rock
21240,electronic
21258,electronic
21242,metal
21164,rap
21274,rap
21300,rock
21237,pop/r&b
21233,experimental
21213,global
21189,experimental
21277,electronic
21159,electronic
21239,rap
21231,experimental
21221,electronic
21216,rap
21285,pop/r&b
21241,experimental
21248,pop/r&b
21163,pop/r&b
21135,experimental
21255,rap
21141,rock
20916,rap
21261,rock
21225,electronic
21247,pop/r&b
20588,
21218,rap
21271,pop/r&b
21217,experimental
21266,rock
21273,pop/r&b
21157,rock
21109,rap
21215,rap
21205,experimental
21276,rock
21253,electronic
21254,rock
21272,rap
21203,
21252,pop/r&b
21264,pop/r&b
21267,rock
21267,pop/r&b
21207,metal
21188,rock
21249,metal
21108,experimental
21232,pop/r&b
21232,electronic
21142,rock
21229,electronic
21133,experimental
21214,pop/r&b
21262,rap
21092,rock
21132,rap
21191,rock
21178,rock
21053,rock
21180,electronic
21243,pop/r&b
21260,rock
21220,rock
21124,rock
21177,experimental
21193,rock
21131,experimental
21110,electronic
21139,pop/r&b
21251,rap
21056,experimental
21204,rock
21161,rock
21100,
21162,electronic
21154,rap
21176,rock
21226,rap
21121,rock
21175,rock
21130,experimental
21128,folk/country
21156,rap
21120,electronic
21187,electronic
21223,electronic
21151,metal
21155,rap
21147,pop/r&b
21119,rock
21119,electronic
21081,electronic
21206,rock
21096,rock
21055,rock
21143,metal
21196,electronic
21183,experimental
21091,rock
21224,rap
21222,electronic
21106,jazz
21106,metal
21211,electronic
21182,rock
21173,pop/r&b
21098,pop/r&b
21153,rap
21174,experimental
21125,rock
20980,rock
20859,rock
21126,experimental
21200,metal
21097,folk/country
21117,electronic
21089,pop/r&b
21195,electronic
21152,rock
21197,rock
21181,electronic
21172,rap
21116,rock
21171,rock
20903,rap
21198,rock
