  United States Virgin Islands,25,29,38,42,43,44,45,46,47,48,48,49,49,51,49,51
  Yemen,2454,3030,3659,4078,4297,4561,4751,4913,5061,5594,5869,6159,6167,7007,7090,7470
  Zambia,1315,1422,1373,1261,1297,1308,1350,1336,1363,1404,1450,1451,1451,1491,1496,1535
  Zimbabwe,891,1076,1669,1914,1939,1947,1935,1923,1888,1876,1850,1851,1829,1792,1825,1903
  ASEAN,65399,77079,90702,110402,114717,118847,123540,127245,131109,134759,139795,141107,143123,147461,149349,155211
"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",845347,1000581,1131473,1285962,1298958,1333856,1391080,1446433,1508164,1564318,1542328,1589540,1618928,1687897,1689416,1741639
OECD America,118279,127583,133245,135772,134970,134163,135810,136012,134445,139862,134750,134088,130547,131040,126203,129596
"Eastern Europe, Caucasus and Central Asia",184111,239760,233098,247496,236369,232281,233113,220897,217485,208223,199291,194267,187674,196831,189789,187933
Latin America and Caribbean,77649,92252,103730,118367,121925,126189,130878,136386,139789,144913,144533,146705,145856,148102,148406,153962
Middle East and North Africa,104462,110033,117494,129438,132873,135048,138292,142198,145061,146252,149130,152266,154743,164619,167704,171634
