  Pakistan,12934,16973,19573,21819,22098,22340,22709,23043,23441,23846,24307,24797,25360,25858,26384,26831
  Panama,182,220,218,255,262,263,271,281,287,290,298,306,311,315,324,332
  Papua New Guinea,149,174,206,246,253,260,265,271,276,281,286,290,294,298,302,306
  Paraguay,260,325,344,410,429,426,436,463,484,489,492,515,504,503,506,509
  Peru,735,963,898,959,935,944,982,1063,1097,1091,1090,1087,1068,1073,1107,1146
  Philippines,2469,3298,4220,5558,5834,6039,6323,6671,6893,7115,7379,7617,7809,8112,8146,8168
  Puerto Rico,178,193,191,188,180,178,175,175,170,175,168,168,165,160,166,171
  Qatar,10,13,14,15,15,15,16,17,17,17,18,19,19,20,21,22
  Romania,3019,3747,3645,3835,3774,3662,3682,3714,3698,3509,3525,3445,3477,3481,3470,3483
  Russia,6705,9976,11239,12636,11626,11107,11146,10645,10691,9966,9658,9357,9368,9184,9023,8976
  Rwanda,584,520,496,393,385,380,376,374,378,386,397,409,418,427,438,449
  Saint Lucia,19,19,17,19,19,19,19,19,20,20,20,21,21,22,22,23
  Saint Vincent and the Grenadines,22,22,23,23,23,24,24,25,25,26,27,28,29,29,29,29
  Samoa,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
  Sao Tome and Principe,7,9,10,10,10,10,10,10,11,11,11,11,11,12,12,12
  Saudi Arabia,1113,1243,1382,1667,1724,1771,1827,1870,1903,1906,1887,1864,1837,1817,1799,1793
  Senegal,411,484,560,617,629,637,643,653,669,686,700,714,729,743,752,757
  Serbia,1002,1225,1341,1453,1445,1418,1434,1442,1424,1434,1434,1401,1406,1422,1384,1366
  Seychelles,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6
  Sierra Leone,353,397,473,551,561,572,579,589,603,610,619,620,624,631,639,647
  Singapore,197,222,223,217,215,216,217,208,208,211,212,213,214,215,215,221
  Solomon Islands,23,27,30,34,34,35,35,36,36,37,37,37,38,38,39,39
  Somalia,809,1069,1165,1228,1248,1266,1286,1303,1320,1340,1364,1388,1413,1441,1464,1487
  South Africa,1197,1648,2682,2725,2777,2768,2758,2742,2680,2608,2569,2535,2534,2569,2568,2427
  Sri Lanka,581,694,834,796,814,831,857,821,827,849,849,833,849,853,861,870
  Sudan,5875,6867,7360,7511,7511,7500,7502,7505,7502,7487,7489,7498,7516,7539,7578,7636
  Suriname,52,53,65,74,73,72,71,70,71,71,72,74,78,82,83,83
  South Sudan,495,586,567,540,543,541,538,534,532,530,531,532,532,535,538,540
  Eswatini,40,46,65,80,79,79,80,80,79,77,76,75,73,71,69,68
  Syrian Arab Republic,1778,2107,2217,2186,2184,2237,2313,2333,2360,2405,2452,2507,2561,2611,2678,2729
  Chinese Taipei,1415,1456,1392,1468,1435,1434,1442,1432,1440,1513,1517,1516,1581,1581,1645,1677
  Tajikistan,615,832,768,875,904,930,951,966,986,1011,1021,1032,1057,1102,1137,1156
  Tanzania,1283,1535,1626,1674,1705,1740,1768,1789,1811,1836,1886,1935,1969,2001,2041,2079
  Thailand,1353,1668,1699,1735,1746,1754,1758,1741,1798,1820,1826,1837,1895,1959,2057,2127
  Timor-Leste,53,60,70,86,88,92,94,98,102,106,110,114,119,123,127,131
  Togo,165,212,267,320,328,338,351,360,371,379,387,393,399,405,412,420
  Tonga,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
  Trinidad and Tobago,70,81,82,75,72,70,73,70,68,65,65,68,70,71,74,75
  Tunisia,1072,1390,1593,1662,1682,1705,1728,1750,1773,1806,1843,1882,1922,1962,2004,2034
  Turkmenistan,208,299,315,423,428,422,399,366,350,350,358,372,383,388,391,398
  Uganda,759,1030,1167,1161,1147,1127,1105,1088,1073,1064,1066,1074,1080,1073,1075,1088
  Ukraine,3104,4375,4338,4687,4500,4572,4547,4183,4087,3928,3914,3859,3663,4178,4018,3808
  United Arab Emirates,46,62,76,76,79,80,81,85,91,98,106,114,123,132,142,153
  Uruguay,341,372,372,373,359,378,356,346,348,362,363,357,350,357,364,370
  Uzbekistan,1477,2049,2493,3268,3226,3240,3293,3270,3275,3298,3352,3377,3366,3376,3384,3394
  Vanuatu,8,9,10,12,12,12,13,13,13,14,14,14,15,15,16,16
  Venezuela,1565,1964,2103,2357,2459,2556,2685,2737,2745,2841,2965,3101,3386,3532,3433,3557
  Viet Nam,4660,5419,6174,6807,6930,7033,7152,7274,7378,7480,7585,7708,7841,7951,8094,8227
  United States Virgin Islands,7,8,9,10,10,10,10,10,11,10,11,11,11,11,11,12
  Yemen,4171,5029,5657,6135,6229,6317,6414,6517,6608,6753,6907,7072,7254,7489,7755,8022
  Zambia,363,491,507,464,463,460,464,464,470,473,474,475,478,482,486,492
  Zimbabwe,494,603,967,1102,1098,1090,1094,1088,1066,1029,999,978,964,958,958,961
  ASEAN,30949,36415,42989,49578,50562,51402,52574,53658,54522,55305,56208,57102,58073,59099,59700,60167
"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",339320,383196,438914,490321,493236,504931,524929,546738,569233,587744,602273,606933,623368,642354,656533,657363
OECD America,41310,43038,43168,42041,41424,40990,41478,41557,41338,41587,41891,42437,42946,43515,44306,44746
"Eastern Europe, Caucasus and Central Asia",16064,23075,24847,28246,27022,26491,26487,25499,25483,24615,24176,23778,23569,23910,23634,23423
Latin America and Caribbean,39488,45208,47645,52202,52732,53521,54906,56398,57241,57751,58661,59872,61201,62561,64111,65318
Middle East and North Africa,40092,45829,50557,56625,57770,58229,59259,60591,61648,62443,63313,63838,64920,66601,67840,69061
